,0
0,MAR11800
1,MAR03059
2,MAR10120
3,MAR00730
4,MAR06756
5,MAR07941
6,MAR05777
7,MAR07496
8,MAR01458
9,MAR04739
10,MAR01185
11,MAR03192
12,MAR07593
13,MAR00600
14,MAR01588
15,MAR01571
16,MAR06700
17,MAR12143
18,MAR10450
19,MAR02979
20,MAR03869
21,MAR05185
22,MAR01866
23,MAR03698
24,MAR02963
25,MAR07031
26,MAR01581
27,MAR05960
28,MAR00467
29,MAR08500
30,MAR03480
31,MAR11244
32,MAR00155
33,MAR05328
34,MAR01878
35,MAR00395
36,MAR03618
37,MAR00932
38,MAR00511
39,MAR00641
40,MAR09986
41,MAR04207
42,MAR00844
43,MAR05129
44,MAR04711
45,MAR06118
46,MAR02590
47,MAR04523
48,MAR00188
49,MAR01334
50,MAR02748
51,MAR08092
52,MAR05031
53,MAR08504
54,MAR02243
55,MAR09897
56,MAR04022
57,MAR02237
58,MAR05598
59,MAR02726
60,MAR05684
61,MAR02047
62,MAR11604
63,MAR09569
64,MAR02011
65,MAR06647
66,MAR01222
67,MAR08218
68,MAR05825
69,MAR03804
70,MAR01766
71,MAR11597
72,MAR08724
73,MAR07851
74,MAR01392
75,MAR05858
76,MAR06764
77,MAR01995
78,MAR02036
79,MAR03294
80,MAR01237
81,MAR12147
82,MAR04079
83,MAR08702
84,MAR01152
85,MAR10016
86,MAR03167
87,MAR05685
88,MAR11304
89,MAR06335
90,MAR08281
91,MAR03437
92,MAR07799
93,MAR00465
94,MAR03723
95,MAR07534
96,MAR06808
97,MAR02197
98,MAR03293
99,MAR07681
100,MAR01978
101,MAR07805
102,MAR08077
103,MAR07812
104,MAR03326
105,MAR05559
106,MAR07052
107,MAR06810
108,MAR10066
109,MAR03643
110,MAR09935
111,MAR08555
112,MAR07865
113,MAR05743
114,MAR06321
115,MAR00048
116,MAR05079
117,MAR03222
118,MAR05604
119,MAR04710
120,MAR05635
121,MAR12267
122,MAR05667
123,MAR05053
124,MAR07443
125,MAR00591
126,MAR02772
127,MAR03340
128,MAR04808
129,MAR02209
130,MAR02328
131,MAR04677
132,MAR00519
133,MAR08793
134,MAR02974
135,MAR06654
136,MAR05590
137,MAR09615
138,MAR07320
139,MAR01174
140,MAR03811
141,MAR00829
142,MAR03895
143,MAR05759
144,MAR04233
145,MAR06444
146,MAR12021
147,MAR00998
148,MAR10150
149,MAR06611
150,MAR03094
151,MAR00860
152,MAR06392
153,MAR01565
154,MAR04012
155,MAR11578
156,MAR01738
157,MAR02117
158,MAR02657
159,MAR01985
160,MAR05792
161,MAR07996
162,MAR11395
163,MAR05918
164,MAR02633
165,MAR04259
166,MAR01329
167,MAR00776
168,MAR06528
169,MAR11598
170,MAR00378
171,MAR00544
172,MAR08629
173,MAR08413
174,MAR11551
175,MAR00233
176,MAR00204
177,MAR01248
178,MAR00164
179,MAR01123
180,MAR09602
181,MAR02166
182,MAR07440
183,MAR02176
184,MAR03970
185,MAR02326
186,MAR04732
187,MAR01156
188,MAR02552
189,MAR06672
190,MAR04454
191,MAR06126
192,MAR05741
193,MAR04802
194,MAR05736
195,MAR04528
196,MAR01127
197,MAR05192
198,MAR08821
199,MAR06007
200,MAR02622
201,MAR01223
202,MAR01282
203,MAR04650
204,MAR06450
205,MAR05028
206,MAR01159
207,MAR05786
208,MAR05870
209,MAR01479
210,MAR11763
211,MAR03429
212,MAR02099
213,MAR04360
214,MAR03328
215,MAR03225
216,MAR07842
