,0,0.1,0.2,0.3,0
MAR00002,0.9537515,0.9794829,0.9937245,0.9134906,0.98242825
MAR00004,0.3360589,0.94597787,0.97115123,0.8069262,0.980659
MAR00005,0.048014868,0.27075282,0.2595687,0.014183923,0.015134545
MAR00007,0.9112564,0.9845754,0.98851717,0.8619519,0.9878457
MAR00008,0.8042879,0.9817472,0.99062485,0.87245405,0.9844753
MAR00009,0.7080398,0.92468405,0.8233649,0.8969518,0.7169346
MAR00010,0.048014868,0.27075282,0.25956866,0.014183917,0.015134545
MAR00013,0.7080397,0.92468405,0.8233649,0.8969517,0.7169346
MAR00014,0.7080397,0.92468405,0.8233649,0.8969517,0.7169346
MAR00018,0.67551774,0.6790668,0.004448948,0.0009672573,0.74491745
MAR00019,0.7080398,0.92468405,0.8233649,0.8969518,0.7169346
MAR00020,0.015188756,0.0077907844,0.0001987288,0.00038164304,0.00028391124
MAR00038,0.999956,0.9955793,0.7631586,0.99639124,0.9988889
MAR00039,0.93861157,0.99652195,0.9725462,0.88195765,0.9749714
MAR00040,0.9984273,0.99765825,0.9993685,0.9952518,0.999199
MAR00041,0.99948823,0.99882334,0.99984694,0.9994748,0.9994437
MAR00045,0.9987627,0.9997986,0.9996208,0.9988325,0.9992729
MAR00053,0.28126153,0.98460245,0.8826706,0.28826827,0.8181644
MAR00054,0.79602826,0.6535866,0.9967423,0.075205304,0.9331273
MAR00056,0.081769854,0.12944376,0.08397556,0.031650137,0.6265652
MAR00058,0.9992324,0.9997416,0.9998147,0.9992205,0.99973553
MAR00059,0.0067879413,0.017016571,0.028774451,0.00032093926,2.8704817e-05
MAR00061,0.9998186,0.99990904,0.9999249,0.99989223,0.99987435
MAR00063,0.011619887,0.96393704,0.5378086,0.18154107,0.7042996
MAR00064,0.7850841,0.6840358,0.86519057,0.9697388,0.76619685
MAR00066,0.8734516,0.9895515,0.9613702,0.92309576,0.9650195
MAR00067,0.99961877,0.999853,0.99976236,0.99986243,0.9993299
MAR00069,0.9912786,0.9926778,0.9987765,0.9958553,0.97480595
MAR00073,0.113157354,0.38528726,0.59044623,0.30574918,0.010297589
MAR00074,0.020454787,0.0118033225,0.010736661,0.0022863464,0.00042010497
MAR00075,0.95545584,0.93124586,0.98542386,0.92112356,0.8655205
MAR00076,0.4990509,0.6514762,0.86027795,0.98773825,0.9730549
MAR00077,0.46945432,0.95914674,0.9386586,0.3715077,0.9740881
MAR00078,0.999977,0.9998878,0.9999969,0.999985,0.99999404
MAR00080,0.9997744,0.9999354,0.99994445,0.9998498,0.9998447
MAR00081,0.99383897,0.99775875,0.9964657,0.98951644,0.9944892
MAR00082,0.99383897,0.99775875,0.9964657,0.98951644,0.9944892
MAR00083,0.0071697333,0.30421346,0.06550553,0.07522231,0.003712988
MAR00084,0.0035402165,0.25770363,0.029209437,0.04232781,0.0019921465
MAR00085,0.0035402165,0.25770366,0.029209437,0.0423278,0.0019921474
MAR00086,0.99742657,0.99862635,0.99783593,0.9968671,0.99029726
