,0,0.1,0.2,0.3,0
MAR00002,0.28039268,0.9919825,0.6631915,0.79169226,0.95544237
MAR00004,0.45094225,0.16555656,0.43102744,0.61618215,0.10784801
MAR00005,0.036784228,0.0035815584,0.007089215,0.060458653,0.011714514
MAR00007,0.13944152,0.9836031,0.85910094,0.87247574,0.9619102
MAR00008,0.06226563,0.98470855,0.6826347,0.77766067,0.8993887
MAR00009,0.9334992,0.958392,0.9396611,0.94060165,0.9500703
MAR00010,0.036784213,0.0035815584,0.007089215,0.060458668,0.011714509
MAR00013,0.025129693,0.3694241,0.0004348717,0.0025364887,0.00065128313
MAR00014,0.025129696,0.3694241,0.0004348717,0.0025364875,0.00065128284
MAR00018,0.97941715,0.067113735,0.9954448,0.9987167,0.28907245
MAR00019,0.66650575,0.006756215,0.008120029,0.60960096,0.07923621
MAR00037,0.0049949847,0.027752707,0.3323605,0.008418775,0.1931691
MAR00038,0.998966,0.97409135,0.6978475,0.999979,0.99997616
MAR00039,0.9257032,0.9160574,0.8673737,0.96389383,0.9596542
MAR00040,0.99801517,0.9995974,0.9988833,0.9993242,0.9997216
MAR00041,0.9997558,0.9999639,0.99964964,0.999767,0.9998343
MAR00045,0.9975884,0.99902976,0.9992083,0.999159,0.99963546
MAR00047,0.9997527,0.9999658,0.9997683,0.9997726,0.9998598
MAR00048,0.98998004,0.99947494,0.99692565,0.9978886,0.9982869
MAR00052,0.999871,0.99992704,0.9998815,0.9997471,0.9999205
MAR00054,0.9703113,0.007400373,0.019285237,0.992673,0.8507687
MAR00056,0.004273328,0.00036476526,0.0491675,0.15968858,0.0092443125
MAR00058,0.999871,0.99992704,0.9998815,0.9997471,0.9999205
MAR00059,0.003214872,0.057041332,0.002371683,0.018100446,0.0033605413
MAR00061,0.99981385,0.9997433,0.99987924,0.9998611,0.99993837
MAR00063,0.49130255,0.8398219,0.99069804,0.09238785,0.98190224
MAR00065,0.99988186,0.9999341,0.99989283,0.9997762,0.99992347
MAR00067,0.99985504,0.9996049,0.9996501,0.99929965,0.9999167
MAR00072,0.6576774,0.9928308,0.8705535,0.9665386,0.9494039
MAR00073,0.00800198,0.36274064,0.15329961,0.1899723,0.101859435
MAR00074,0.00060686446,0.009968025,0.017508745,0.0093113715,0.0028569943
MAR00075,0.97581893,0.10520612,0.9812827,0.019813195,0.9941591
MAR00077,0.91308063,0.9414041,0.97937864,0.9339896,0.9456818
MAR00078,0.9999913,0.998432,0.9999713,0.99983835,0.99997425
MAR00079,0.99993455,0.9999589,0.999949,0.99995315,0.9999602
MAR00080,0.9999839,0.99998486,0.99993,0.9999492,0.99995506
MAR00081,0.9965438,0.9984169,0.98900664,0.9986921,0.98715717
MAR00082,0.9965438,0.9984169,0.98900664,0.9986921,0.98715717
MAR00086,0.9959791,0.9987394,0.97790784,0.997891,0.9987435
MAR00089,0.9334992,0.958392,0.9396611,0.94060165,0.9500703
MAR00090,0.10179544,0.20649615,0.0033441652,0.00040158135,0.0016930478
MAR00091,0.00060686446,0.009968025,0.017508745,0.0093113715,0.002856996
MAR00092,0.0009597076,0.07117996,0.0036937813,0.022711406,0.011716679
MAR00094,0.99980503,0.9998153,0.999778,0.99979335,0.9998982
MAR00096,0.985558,0.9810214,0.92451733,0.99092215,0.9985916
MAR00099,0.9334992,0.958392,0.9396611,0.94060165,0.9500703
MAR00100,0.9334992,0.958392,0.9396611,0.94060165,0.9500703
MAR00101,0.9956969,0.99953747,0.99876785,0.9990829,0.9977048
MAR00109,0.99826545,0.9972536,0.99401,0.9940779,0.9987575
MAR00112,0.9988819,0.9504463,0.5800081,0.98145205,0.98942405
MAR00113,0.8522963,0.8604859,0.8731307,0.94111365,0.5403538
MAR00114,0.59398127,0.869441,0.43589258,0.5717041,0.76232636
MAR00115,0.9956969,0.99953747,0.99876785,0.9990829,0.9977048
MAR00116,0.9997719,0.9999517,0.9999207,0.9999223,0.9998423
MAR00117,0.97112703,0.9826974,0.9796795,0.99216354,0.9696735
MAR00118,0.8597205,0.73065925,0.5968781,0.83470505,0.657077
MAR00120,0.113764495,0.6340387,0.022186458,0.029979564,0.34599805
MAR00122,0.0020816084,0.16834238,0.007812295,0.04434286,0.031324256
MAR00124,0.021523094,0.046338893,0.56341165,0.031774007,0.03207018
MAR00127,0.82278985,0.8655503,0.7347754,0.5510352,0.98344684
MAR00131,0.0009275728,0.001937043,0.00071791996,0.0012325764,0.00055326463
MAR00132,0.00034130024,0.00067438424,0.00021319895,0.00039113543,0.00030764335
MAR00133,0.9025884,0.99722385,0.96808326,0.89681536,0.9924489
MAR00134,0.99924695,0.99990094,0.99869764,0.9991041,0.9994854
MAR00135,0.80462885,0.9959187,0.9641134,0.98476356,0.9963188
MAR00136,0.061090853,0.060604203,0.14549573,0.41540477,0.87205577
MAR00137,0.99995625,0.99994373,0.9999559,0.9998691,0.99992037
MAR00138,0.9334992,0.958392,0.9396611,0.94060165,0.9500703
MAR00139,0.9584734,0.9937449,0.9958911,0.9876292,0.9925137
MAR00141,0.996265,0.84268177,0.8972664,0.9151986,0.9400368
MAR00142,0.16181009,0.66549593,0.0053118095,0.46976003,0.69062436
MAR00145,0.9999509,0.999943,0.9998357,0.99983394,0.99994576
MAR00149,0.99996316,0.9999528,0.9998671,0.99986446,0.9999453
MAR00150,0.99993205,0.99992394,0.9998024,0.99979633,0.99993813
MAR00151,0.9999342,0.99992144,0.99981767,0.9997962,0.9999374
MAR00153,0.99933916,0.99814343,0.9984451,0.9977381,0.9994197
MAR00157,0.9890237,0.97075844,0.39338383,0.883911,0.9707873
MAR00161,0.9985971,0.9976363,0.9935408,0.9938898,0.9987293
MAR00169,0.9331967,0.9709453,0.03473003,0.034173407,0.14533508
MAR00175,0.3307797,0.97853047,0.0483838,0.9686187,0.9901632
MAR00181,0.9999572,0.999943,0.99986434,0.9998363,0.99994564
MAR00182,0.17965083,0.04892909,0.42604813,0.2638287,0.17156608
MAR00186,0.9999614,0.99994826,0.99986136,0.9998357,0.9999484
MAR00194,0.9998617,0.99993813,0.99990475,0.99977154,0.9999207
MAR00198,0.9998665,0.9999387,0.99989974,0.99977404,0.99992144
MAR00202,0.9998671,0.99993753,0.9999038,0.9997743,0.9999198
MAR00205,0.99938655,0.9982146,0.9995739,0.99913824,0.9988815
MAR00207,0.999863,0.9999372,0.99990463,0.9997714,0.99992347
MAR00211,0.99986565,0.9999373,0.9999033,0.9997644,0.9999213
MAR00215,0.9998648,0.9999367,0.9999038,0.9997756,0.9999194
MAR00218,0.9993455,0.9980836,0.9995907,0.9990195,0.9990766
MAR00219,0.57404584,0.6839516,0.70182335,0.083130285,0.8474498
MAR00221,0.6570752,0.87165743,0.86384153,0.07269297,0.97618973
MAR00222,0.030710008,0.027862092,0.0480846,0.044552058,0.039240535
MAR00224,0.9998877,0.9999466,0.9999082,0.999798,0.9999206
MAR00227,0.9956969,0.99953747,0.99876785,0.9990829,0.9977048
MAR00228,0.9997354,0.99998736,0.99983287,0.99995804,0.9999304
