,0,0.1,0.2,0.3,0
MAR00004,0.019557558,0.0038311658,0.017533042,0.2631809,0.3399862
MAR00005,0.1182993,0.07016894,0.2420473,0.26861057,0.17415453
MAR00009,0.19859023,0.008330786,0.0022616251,0.97053176,0.23314488
MAR00010,0.11829935,0.07016896,0.24204727,0.26861063,0.17415453
MAR00019,0.73059565,0.36384,0.95622563,0.9972045,0.6968813
MAR00039,0.37236404,0.76906955,0.97414374,0.7509186,0.96500725
MAR00040,0.99939823,0.99959666,0.9998073,0.99744344,0.9992748
MAR00041,0.999683,0.9997944,0.99947184,0.99958473,0.9997646
MAR00045,0.9991027,0.99946266,0.998993,0.9981565,0.99955624
MAR00047,0.9996817,0.9997681,0.9998665,0.9998543,0.9998203
MAR00048,0.99397624,0.99920493,0.9991793,0.9984571,0.9985795
MAR00052,0.999316,0.99975806,0.99964595,0.99968743,0.99965227
MAR00054,0.72637254,0.88192946,0.25435188,0.09555063,0.011686052
MAR00056,0.021275498,0.07551527,0.036888443,0.49455178,0.05687985
MAR00058,0.9992812,0.9997352,0.99960035,0.99965525,0.9996371
MAR00059,0.0072163097,0.0024376092,0.004588159,0.0053144884,0.0057145488
MAR00061,0.99991846,0.9999503,0.99972755,0.99945885,0.99984527
MAR00065,0.9992812,0.9997352,0.99960035,0.99965525,0.9996371
MAR00067,0.99940014,0.9997919,0.9996182,0.99961853,0.9997023
MAR00069,0.9928328,0.9165798,0.96220434,0.9953458,0.9994117
MAR00073,0.022206873,0.25290304,0.44857514,0.3595942,0.5470572
MAR00074,0.07701183,0.19348063,0.37285367,0.043175887,0.012068894
MAR00075,0.8187871,0.7425643,0.9827806,0.99582434,0.96066946
MAR00077,0.94399685,0.97801185,0.4364354,0.9783715,0.4645198
MAR00078,0.999706,0.9999908,0.95853984,0.9999924,0.996228
MAR00080,0.9998623,0.999943,0.9998454,0.99997306,0.9999237
MAR00081,0.99816775,0.9985201,0.9954608,0.99803966,0.9930947
MAR00082,0.99816775,0.9985201,0.9954608,0.99803966,0.9930947
MAR00083,0.009447841,0.18080449,0.1207605,0.40966728,0.015965587
MAR00084,0.009447841,0.18080449,0.1207605,0.40966725,0.015965587
MAR00085,0.01800491,0.2364827,0.116782285,0.49456817,0.041295625
MAR00086,0.9745905,0.99626887,0.9966511,0.9816777,0.9948192
MAR00089,0.9058871,0.89111197,0.9266873,0.9299915,0.81691116
MAR00090,0.9058871,0.89111197,0.9266873,0.9299915,0.81691116
MAR00091,0.09201743,0.2386231,0.45371392,0.048731484,0.014243539
MAR00092,0.004024324,0.07687834,0.08382719,0.03945603,0.06279092
MAR00094,0.9999068,0.9999503,0.9997466,0.9999716,0.99985695
MAR00095,0.89466363,0.96009594,0.9864976,0.9667614,0.9933078
MAR00099,0.9058871,0.89111197,0.9266873,0.9299915,0.81691116
MAR00100,0.9058871,0.89111197,0.9266873,0.9299915,0.81691116
MAR00104,0.9970993,0.99901056,0.9979206,0.9934366,0.997311
MAR00109,0.9972485,0.9989573,0.9974367,0.99385417,0.99764794
MAR00112,0.7951658,0.991702,0.8919959,0.9740926,0.92824024
MAR00113,0.75470155,0.9481504,0.99436945,0.9848856,0.9465426
MAR00114,0.67268157,0.9427903,0.98285645,0.9794263,0.9524237
MAR00115,0.9792764,0.9977851,0.99818367,0.9988833,0.9982509
MAR00116,0.9994411,0.9998691,0.99990284,0.9998884,0.9998598
MAR00117,0.93129003,0.995843,0.9994498,0.99514574,0.9897933
MAR00118,0.5253357,0.81222737,0.46785915,0.990668,0.95017105
MAR00119,0.9973411,0.99758947,0.9992374,0.99957556,0.99803776
MAR00120,0.08925009,0.22396351,0.0059769554,0.8319924,0.07663859
MAR00122,0.0062489146,0.20580745,0.19203542,0.053652007,0.18976477
MAR00123,0.9082495,0.85127676,0.7982321,0.41188717,0.69031286
MAR00124,0.9750497,0.9976931,0.45696685,0.9675899,0.8043179
MAR00126,0.99989164,0.99982965,0.9990507,0.99979216,0.9994497
MAR00127,0.226016,0.029661594,0.1416658,0.4429426,0.010590577
MAR00131,0.00034135996,0.0012701269,0.025361717,0.008319102,0.0049983202
MAR00132,0.00013054379,0.00069903495,0.002585087,0.0019618464,0.0011749436
MAR00133,0.9947541,0.99573624,0.9880399,0.9766035,0.9953263
MAR00134,0.9985268,0.9997352,0.9992198,0.9992409,0.9995036
MAR00135,0.96737605,0.98313373,0.9869148,0.94468254,0.9790314
MAR00136,0.030543437,0.00051113387,0.0062126163,0.0026428478,0.050686546
MAR00138,0.9058871,0.89111197,0.9266873,0.9299915,0.81691116
MAR00139,0.9784162,0.9878876,0.99271506,0.9898024,0.98764694
MAR00141,0.98779386,0.9755821,0.9933207,0.9771723,0.99755955
MAR00142,0.07158771,0.21465725,0.04035686,0.5748499,0.5512094
MAR00145,0.9998367,0.99994576,0.999863,0.9998871,0.9998485
MAR00149,0.99986136,0.9999502,0.999876,0.9998926,0.9998596
MAR00150,0.99978155,0.99993825,0.9998292,0.99986374,0.99982125
MAR00152,0.99983,0.9999447,0.9998599,0.9998816,0.999841
MAR00153,0.9982663,0.9991602,0.9976029,0.9979438,0.99888605
MAR00157,0.9779507,0.9880229,0.9923602,0.9214034,0.9673089
MAR00161,0.99824893,0.9994584,0.9985454,0.9963941,0.99807006
MAR00169,0.9170348,0.35880727,0.8735027,0.5502102,0.21745972
MAR00175,0.9902002,0.9832017,0.8043025,0.84382445,0.59389687
MAR00181,0.99984336,0.99994934,0.99986124,0.9998853,0.9998524
MAR00182,0.9395447,0.102981344,0.37060806,0.56766605,0.1233384
MAR00186,0.9998534,0.9999496,0.9998658,0.9998907,0.9998436
MAR00205,0.99961406,0.9998222,0.99945384,0.99972457,0.99951625
MAR00218,0.9994923,0.9997969,0.99933964,0.9996394,0.99951196
