,0,0.1,0.2,0.3,0
MAR00004,0.4762382,,,,
MAR00005,0.006719615,,,,
MAR00009,0.58229685,,,,
MAR00010,0.006719615,,,,
MAR00018,0.99483705,,,,
MAR00019,0.67895615,,,,
MAR00037,0.08283182,,,,
MAR00039,0.65951675,,,,
MAR00040,0.9986498,,,,
MAR00041,0.9995328,,,,
MAR00045,0.9916187,,,,
MAR00047,0.99970007,,,,
MAR00048,0.99891496,,,,
MAR00052,0.99977607,,,,
MAR00054,0.89672405,,,,
MAR00056,0.12857531,,,,
MAR00057,0.23287173,,,,
MAR00058,0.99977607,,,,
MAR00059,0.0015223708,,,,
MAR00061,0.9993963,,,,
MAR00063,0.19986661,,,,
MAR00065,0.9998252,,,,
MAR00067,0.99964285,,,,
MAR00072,0.3720294,,,,
MAR00073,0.37479442,,,,
MAR00074,0.00416852,,,,
MAR00075,0.9352152,,,,
MAR00077,0.69432557,,,,
MAR00078,0.9998723,,,,
MAR00080,0.9999318,,,,
MAR00081,0.99707365,,,,
MAR00082,0.99707365,,,,
MAR00086,0.98770475,,,,
MAR00089,0.7150178,,,,
MAR00090,0.7150178,,,,
MAR00091,0.005534464,,,,
MAR00092,0.037077393,,,,
MAR00094,0.9998124,,,,
MAR00096,0.9071641,,,,
MAR00099,0.7150178,,,,
MAR00100,0.7150178,,,,
MAR00109,0.996846,,,,
MAR00112,0.9779374,,,,
MAR00113,0.7794564,,,,
MAR00114,0.31037068,,,,
MAR00115,0.9979214,,,,
MAR00116,0.99984205,,,,
MAR00117,0.9466991,,,,
MAR00118,0.6240587,,,,
MAR00119,0.99951744,,,,
MAR00120,0.003063277,,,,
MAR00122,0.040245585,,,,
MAR00123,0.96646357,,,,
MAR00125,0.99956065,,,,
MAR00127,0.12530293,,,,
MAR00131,0.0027504116,,,,
MAR00132,0.0006959676,,,,
MAR00133,0.87326884,,,,
MAR00134,0.9980197,,,,
MAR00135,0.9434795,,,,
MAR00136,0.07542112,,,,
MAR00138,0.7150178,,,,
MAR00139,0.9902998,,,,
MAR00141,0.98308647,,,,
MAR00142,0.07036962,,,,
MAR00144,0.99990106,,,,
MAR00145,0.9998673,,,,
MAR00146,0.999912,,,,
MAR00147,0.9998933,,,,
MAR00148,0.999895,,,,
MAR00149,0.99988735,,,,
MAR00150,0.9998357,,,,
MAR00151,0.9998386,,,,
MAR00152,0.9998801,,,,
MAR00153,0.99965894,,,,
MAR00157,0.9404045,,,,
MAR00161,0.99748224,,,,
MAR00169,0.9564723,,,,
MAR00175,0.20145045,,,,
MAR00181,0.99989414,,,,
MAR00182,0.52115417,,,,
MAR00186,0.9998832,,,,
MAR00205,0.9969723,,,,
MAR00218,0.9960245,,,,
MAR00219,0.9900413,,,,
MAR00221,0.9952486,,,,
MAR00222,0.04939021,,,,
MAR00227,0.9979214,,,,
MAR00228,0.999788,,,,
MAR00229,0.96286094,,,,
MAR00251,0.994418,,,,
MAR00286,0.7150178,,,,
MAR00315,0.7150178,,,,
MAR00316,0.00081958994,,,,
MAR00333,0.7150178,,,,
MAR00334,0.99986076,,,,
MAR00440,0.7150178,,,,
MAR00443,0.7150178,,,,
MAR00444,0.4655026,,,,
MAR00449,0.9975999,,,,
MAR00454,0.99948466,,,,
MAR00455,0.99649614,,,,
MAR00461,0.49936506,,,,
MAR00468,0.06989172,,,,
MAR00469,0.9998857,,,,
MAR00470,0.9997893,,,,
MAR00478,0.99994755,,,,
MAR00479,0.9999552,,,,
MAR00481,0.9883732,,,,
MAR00553,0.00066229526,,,,
MAR00561,0.000325264,,,,
MAR00565,0.5424517,,,,
MAR00566,0.29617408,,,,
MAR00567,0.26906204,,,,
MAR00568,0.35495058,,,,
MAR00569,0.49070916,,,,
MAR00571,0.3129026,,,,
MAR00572,0.5424517,,,,
MAR00573,0.27815944,,,,
MAR00574,0.5424517,,,,
MAR00575,0.30076155,,,,
MAR00576,0.279772,,,,
MAR00577,0.30372185,,,,
MAR00582,0.00039719095,,,,
MAR00583,0.31303602,,,,
MAR00584,0.59352195,,,,
MAR00585,0.5424517,,,,
MAR00586,0.0003140473,,,,
MAR00587,0.0026344038,,,,
MAR00594,0.0011052749,,,,
MAR00595,0.5424517,,,,
MAR00602,0.9554938,,,,
MAR00603,0.5424517,,,,
MAR00606,0.5424517,,,,
MAR00608,0.5424517,,,,
MAR00609,0.5424517,,,,
MAR00611,0.35450673,,,,
MAR00612,0.7150178,,,,
MAR00613,0.009687425,,,,
MAR00617,0.32336035,,,,
MAR00618,0.30237722,,,,
MAR00619,0.5424517,,,,
MAR00620,0.24072275,,,,
MAR00621,0.42601195,,,,
MAR00623,0.0011386317,,,,
MAR00624,0.30940408,,,,
MAR00626,0.28937072,,,,
MAR00628,0.5424517,,,,
MAR00631,0.5424517,,,,
MAR00632,0.8043883,,,,
MAR00637,0.34445044,,,,
MAR00639,0.36333916,,,,
MAR00640,0.4206864,,,,
MAR00641,0.9460488,,,,
MAR00644,0.8276395,,,,
MAR00647,0.9579305,,,,
MAR00650,0.36529765,,,,
MAR00655,0.5205522,,,,
MAR00656,0.48110962,,,,
MAR00658,0.3468987,,,,
MAR00659,0.5424517,,,,
MAR00661,0.43351182,,,,
MAR00662,0.3070954,,,,
MAR00666,0.5424517,,,,
