,0,0.1,0.2,0.3,0
MAR00004,0.0020755937,,,,
MAR00005,0.22588666,,,,
MAR00009,0.0093409335,,,,
MAR00010,0.22588666,,,,
MAR00018,0.9999207,,,,
MAR00019,0.037926,,,,
MAR00020,0.16703017,,,,
MAR00037,0.008844341,,,,
MAR00040,0.9974623,,,,
MAR00041,0.9994375,,,,
MAR00045,0.9971654,,,,
MAR00047,0.9987404,,,,
MAR00048,0.99382716,,,,
MAR00052,0.99976677,,,,
MAR00054,0.9051633,,,,
MAR00056,0.034745038,,,,
MAR00057,0.9871514,,,,
MAR00058,0.99976677,,,,
MAR00059,0.00018254388,,,,
MAR00061,0.9996935,,,,
MAR00065,0.99976677,,,,
MAR00066,0.9704542,,,,
MAR00067,0.9995807,,,,
MAR00069,0.932811,,,,
MAR00073,0.18229593,,,,
MAR00074,0.013421643,,,,
MAR00077,0.97791845,,,,
MAR00078,0.99993145,,,,
MAR00080,0.99993277,,,,
MAR00081,0.9954886,,,,
MAR00082,0.9954886,,,,
MAR00083,0.08926449,,,,
MAR00084,0.018630823,,,,
MAR00085,0.018630823,,,,
MAR00086,0.99167776,,,,
MAR00090,0.88126767,,,,
MAR00091,0.019281266,,,,
MAR00092,0.022915717,,,,
MAR00094,0.9997918,,,,
MAR00096,0.9898762,,,,
MAR00099,0.88126767,,,,
MAR00100,0.88126767,,,,
MAR00112,0.9620156,,,,
MAR00113,0.9785542,,,,
MAR00114,0.9350348,,,,
MAR00115,0.99755126,,,,
MAR00116,0.9995179,,,,
MAR00117,0.9928028,,,,
MAR00118,0.93265635,,,,
MAR00120,0.011458455,,,,
MAR00122,0.022311462,,,,
MAR00123,0.8893936,,,,
MAR00126,0.99987626,,,,
MAR00127,0.33073524,,,,
MAR00131,0.015241721,,,,
MAR00132,0.001560768,,,,
MAR00133,0.96079755,,,,
MAR00134,0.99818367,,,,
MAR00135,0.9907382,,,,
MAR00136,0.6567558,,,,
MAR00137,0.9998597,,,,
MAR00138,0.88126767,,,,
MAR00139,0.9940502,,,,
MAR00141,0.9124072,,,,
MAR00142,0.57996666,,,,
MAR00144,0.9998654,,,,
MAR00146,0.99989927,,,,
MAR00147,0.99980885,,,,
MAR00148,0.9998078,,,,
MAR00157,0.9920471,,,,
MAR00169,0.24786727,,,,
MAR00175,0.088127375,,,,
MAR00181,0.99984145,,,,
MAR00182,0.1038167,,,,
MAR00186,0.99984384,,,,
MAR00194,0.999813,,,,
MAR00198,0.99981874,,,,
MAR00202,0.99980325,,,,
MAR00205,0.999668,,,,
MAR00207,0.99980026,,,,
MAR00211,0.9998047,,,,
MAR00215,0.99981827,,,,
MAR00218,0.9996909,,,,
MAR00219,0.6249159,,,,
MAR00220,0.013432373,,,,
MAR00221,0.0011583716,,,,
MAR00224,0.9998425,,,,
MAR00229,0.00480462,,,,
MAR00231,0.99983287,,,,
MAR00235,0.9998016,,,,
MAR00239,0.9998178,,,,
MAR00243,0.9998043,,,,
MAR00247,0.99980706,,,,
MAR00251,0.9972916,,,,
MAR00253,0.99981445,,,,
MAR00257,0.99980646,,,,
MAR00265,0.99981815,,,,
MAR00269,0.99980444,,,,
MAR00273,0.99980325,,,,
MAR00277,0.9998053,,,,
MAR00281,0.99979883,,,,
MAR00286,0.88126767,,,,
MAR00287,0.9998079,,,,
MAR00291,0.9998036,,,,
MAR00295,0.99982065,,,,
MAR00299,0.9998085,,,,
MAR00303,0.999801,,,,
MAR00307,0.9998055,,,,
MAR00311,0.9998078,,,,
MAR00315,0.88126767,,,,
MAR00316,0.5519155,,,,
MAR00317,0.9998024,,,,
MAR00321,0.9998048,,,,
MAR00325,0.9998067,,,,
MAR00329,0.9998204,,,,
MAR00334,0.9998522,,,,
MAR00335,0.99982005,,,,
MAR00339,0.9998406,,,,
MAR00343,0.99980193,,,,
MAR00347,0.99981195,,,,
MAR00351,0.9998018,,,,
MAR00355,0.999814,,,,
MAR00359,0.9998037,,,,
MAR00363,0.99984694,,,,
MAR00367,0.9997991,,,,
MAR00371,0.9998104,,,,
MAR00375,0.9998056,,,,
MAR00379,0.9998118,,,,
MAR00383,0.9998066,,,,
MAR00387,0.9998047,,,,
MAR00391,0.9998023,,,,
MAR00395,0.999803,,,,
MAR00399,0.9998299,,,,
MAR00403,0.9998073,,,,
MAR00407,0.99980754,,,,
MAR00411,0.999944,,,,
MAR00415,0.99981934,,,,
MAR00419,0.9998067,,,,
MAR00423,0.99980515,,,,
MAR00427,0.99980885,,,,
MAR00431,0.99980444,,,,
MAR00435,0.99980015,,,,
MAR00439,0.99980515,,,,
MAR00440,0.88126767,,,,
MAR00443,0.00020975104,,,,
MAR00444,0.4474563,,,,
MAR00445,0.0008985594,,,,
MAR00446,0.54166853,,,,
MAR00448,0.99886286,,,,
MAR00449,0.99077106,,,,
MAR00454,0.99970067,,,,
MAR00458,0.9950138,,,,
MAR00459,0.99932873,,,,
MAR00460,0.9984817,,,,
MAR00461,0.87342286,,,,
MAR00462,0.83551383,,,,
MAR00464,0.92166775,,,,
MAR00466,0.4976609,,,,
MAR00467,0.99475443,,,,
MAR00469,0.9998697,,,,
MAR00478,0.99994123,,,,
MAR00481,0.99819094,,,,
MAR00565,0.714588,,,,
MAR00566,0.41017032,,,,
MAR00567,0.37197742,,,,
MAR00568,0.5259678,,,,
MAR00569,0.63037163,,,,
MAR00571,0.33444047,,,,
MAR00572,0.714588,,,,
MAR00573,0.27238557,,,,
MAR00574,0.714588,,,,
MAR00575,0.35508218,,,,
MAR00576,0.3622509,,,,
MAR00577,0.36930206,,,,
MAR00582,0.0012606478,,,,
MAR00583,0.32854977,,,,
MAR00584,0.52288365,,,,
MAR00585,0.714588,,,,
MAR00586,0.0011474043,,,,
MAR00587,0.21522416,,,,
MAR00595,0.714588,,,,
MAR00603,0.714588,,,,
MAR00606,0.7813942,,,,
MAR00608,0.7813942,,,,
MAR00609,0.714588,,,,
MAR00611,0.4309652,,,,
MAR00612,0.88126767,,,,
MAR00613,0.01980888,,,,
MAR00615,0.674038,,,,
MAR00616,0.99793774,,,,
MAR00617,0.35698003,,,,
MAR00618,0.37498233,,,,
MAR00619,0.714588,,,,
MAR00620,0.3692762,,,,
MAR00621,0.3863896,,,,
MAR00623,0.00054141553,,,,
MAR00624,0.337548,,,,
MAR00626,0.35217836,,,,
MAR00628,0.714588,,,,
MAR00629,0.96983474,,,,
MAR00631,0.714588,,,,
MAR00637,0.54150426,,,,
MAR00639,0.46869114,,,,
MAR00640,0.74576217,,,,
MAR00641,0.9919131,,,,
MAR00642,0.9671804,,,,
MAR00647,0.982488,,,,
MAR00649,0.9986993,,,,
MAR00650,0.4426308,,,,
MAR00653,0.99928504,,,,
MAR00654,0.99782467,,,,
MAR00655,0.6313027,,,,
MAR00656,0.6959736,,,,
MAR00657,0.9993537,,,,
MAR00658,0.55245996,,,,
MAR00659,0.714588,,,,
MAR00660,0.9919471,,,,
MAR00661,0.6039678,,,,
MAR00662,0.38486856,,,,
MAR00666,0.714588,,,,
MAR00695,0.35417244,,,,
MAR00696,0.82836294,,,,
MAR00697,0.37258407,,,,
MAR00698,0.34643906,,,,
MAR00699,0.35505736,,,,
MAR00700,0.35582963,,,,
MAR00701,0.37952024,,,,
MAR00702,0.3831702,,,,
MAR00704,0.35093305,,,,
MAR00714,0.80844635,,,,
MAR00720,0.714588,,,,
MAR00721,0.714588,,,,
MAR00722,0.6643487,,,,
MAR00731,0.91104037,,,,
MAR00732,0.99909174,,,,
MAR00734,0.87342286,,,,
MAR00735,0.88126767,,,,
MAR00739,0.99797076,,,,
MAR00740,0.99797076,,,,
MAR00748,0.0056034992,,,,
MAR00759,0.9995573,,,,
MAR00761,0.9928935,,,,
MAR00763,0.021981664,,,,
MAR00766,0.56344044,,,,
MAR00769,0.012097376,,,,
MAR00771,0.44014576,,,,
MAR00777,0.99951386,,,,
MAR00779,0.04493757,,,,
MAR00781,0.99931955,,,,
MAR00782,0.7018276,,,,
MAR00786,0.9702306,,,,
MAR00787,0.97369623,,,,
MAR00790,0.9709136,,,,
MAR00792,0.34801483,,,,
MAR00793,0.94268715,,,,
MAR00794,0.9835306,,,,
MAR00796,0.44014576,,,,
MAR00797,0.9691696,,,,
MAR00798,0.0074452152,,,,
MAR00801,0.9911249,,,,
MAR00802,0.02139191,,,,
MAR00803,0.053823497,,,,
MAR00804,0.9875414,,,,
MAR00809,0.9690036,,,,
MAR00810,0.8317015,,,,
MAR00811,0.019168556,,,,
MAR00812,0.8071408,,,,
MAR00814,0.7810105,,,,
MAR00815,0.9579082,,,,
MAR00816,0.98627245,,,,
MAR00819,0.04672359,,,,
MAR00822,0.9989355,,,,
MAR00827,0.95411956,,,,
MAR00829,0.9925063,,,,
MAR00831,0.7172996,,,,
MAR00832,0.92055446,,,,
MAR00839,0.99921966,,,,
MAR00842,0.8895708,,,,
MAR00846,0.99928963,,,,
MAR00848,0.9991924,,,,
MAR00860,0.9730023,,,,
MAR00864,0.9883746,,,,
MAR00865,0.958747,,,,
MAR00866,0.9883746,,,,
MAR00867,0.78101057,,,,
MAR00868,0.958747,,,,
MAR00870,0.9883746,,,,
MAR00872,0.9995509,,,,
MAR00873,0.9883746,,,,
MAR00878,0.9923218,,,,
MAR00883,0.99332833,,,,
MAR00884,0.78101045,,,,
MAR00885,0.958747,,,,
MAR00886,0.9883746,,,,
MAR00887,0.78101057,,,,
MAR00901,0.97864574,,,,
MAR00902,0.87761265,,,,
MAR00903,0.958747,,,,
MAR00904,0.9883746,,,,
MAR00905,0.78101057,,,,
MAR00906,0.9966487,,,,
MAR00907,0.958747,,,,
MAR00908,0.9883746,,,,
MAR00909,0.9883746,,,,
MAR00912,0.9743413,,,,
MAR00913,0.88126767,,,,
MAR00914,0.986304,,,,
MAR00919,0.99272573,,,,
MAR00920,0.9959876,,,,
MAR00921,0.55645925,,,,
MAR00929,0.10047584,,,,
MAR00941,0.9999399,,,,
MAR00952,0.9995962,,,,
MAR00961,0.99976426,,,,
MAR00966,0.7005208,,,,
MAR00967,0.99892235,,,,
MAR00973,0.9994929,,,,
MAR00976,0.9997068,,,,
MAR00978,0.99949074,,,,
MAR01010,0.47718474,,,,
MAR01012,0.99983525,,,,
MAR01013,0.99963164,,,,
MAR01016,0.055856794,,,,
MAR01019,0.999856,,,,
MAR01020,0.99910754,,,,
MAR01024,0.9998914,,,,
MAR01030,0.008225996,,,,
MAR01031,0.9999076,,,,
MAR01032,0.999926,,,,
MAR01038,0.00066451955,,,,
MAR01046,0.9159875,,,,
MAR01052,0.41682604,,,,
MAR01056,0.88126767,,,,
MAR01060,0.88126767,,,,
MAR01076,0.88126767,,,,
MAR01078,0.88126767,,,,
MAR01083,0.092550844,,,,
MAR01086,0.005307005,,,,
MAR01094,0.028251216,,,,
MAR01095,0.9969482,,,,
MAR01096,0.9941567,,,,
MAR01118,0.09255083,,,,
MAR01126,0.99984777,,,,
MAR01136,0.9851843,,,,
MAR01138,0.99957937,,,,
MAR01140,0.999498,,,,
MAR01141,0.09255081,,,,
MAR01142,0.99871194,,,,
MAR01144,0.7246252,,,,
MAR01145,0.57881916,,,,
MAR01161,0.9906245,,,,
MAR01162,0.99233246,,,,
MAR01163,0.9844074,,,,
MAR01164,0.9881292,,,,
MAR01165,0.9974623,,,,
MAR01166,0.99819094,,,,
MAR01167,0.97554463,,,,
MAR01168,0.95244676,,,,
MAR01170,0.99315757,,,,
MAR01171,0.99855953,,,,
MAR01172,0.88126767,,,,
MAR01173,0.88126767,,,,
MAR01174,0.97554463,,,,
MAR01175,0.96953255,,,,
MAR01176,0.9950138,,,,
MAR01177,0.9844074,,,,
MAR01178,0.9974623,,,,
MAR01179,0.97554463,,,,
MAR01180,0.96953255,,,,
MAR01181,0.9950138,,,,
MAR01182,0.9844074,,,,
MAR01183,0.9974623,,,,
MAR01184,0.97554463,,,,
MAR01185,0.98057026,,,,
MAR01186,0.17540726,,,,
MAR01201,0.9939917,,,,
MAR01203,0.99762017,,,,
MAR01204,0.96953255,,,,
MAR01205,0.9574505,,,,
MAR01206,0.9844074,,,,
MAR01207,0.9881292,,,,
MAR01208,0.9974623,,,,
MAR01209,0.99819094,,,,
MAR01210,0.97554463,,,,
MAR01211,0.95244676,,,,
MAR01212,0.99315757,,,,
MAR01213,0.99855953,,,,
MAR01214,0.88126767,,,,
MAR01215,0.88126767,,,,
MAR01216,0.97554463,,,,
MAR01217,0.96953255,,,,
MAR01218,0.9950138,,,,
MAR01219,0.9844074,,,,
MAR01220,0.9974623,,,,
MAR01221,0.97554463,,,,
MAR01222,0.9950138,,,,
MAR01223,0.96953255,,,,
MAR01224,0.9844074,,,,
MAR01225,0.9974623,,,,
MAR01226,0.97554463,,,,
MAR01227,0.98057026,,,,
MAR01228,0.9989526,,,,
MAR01231,0.99931955,,,,
MAR01234,0.99981385,,,,
MAR01235,0.999498,,,,
MAR01236,0.99981385,,,,
MAR01237,0.999498,,,,
MAR01238,0.99981385,,,,
MAR01239,0.999498,,,,
MAR01240,0.88126767,,,,
MAR01241,0.9995297,,,,
MAR01242,0.88126767,,,,
MAR01243,0.88126767,,,,
MAR01244,0.99945325,,,,
MAR01245,0.99633896,,,,
MAR01246,0.9978688,,,,
MAR01263,0.99797076,,,,
MAR01265,0.9986772,,,,
MAR01267,0.06414855,,,,
MAR01268,0.022396924,,,,
MAR01269,0.88126767,,,,
MAR01280,0.99931955,,,,
MAR01283,0.016287481,,,,
MAR01284,0.056845527,,,,
MAR01285,0.88126767,,,,
MAR01306,0.010394493,,,,
MAR01308,0.0047618956,,,,
MAR01309,0.88126767,,,,
MAR01310,0.9539372,,,,
MAR01311,0.95634097,,,,
MAR01313,0.0047618956,,,,
MAR01315,0.95978695,,,,
MAR01316,0.005632396,,,,
MAR01318,0.9993099,,,,
MAR01320,0.9996679,,,,
MAR01322,0.0068933093,,,,
MAR01323,0.88126767,,,,
MAR01324,0.99950325,,,,
MAR01326,0.99960047,,,,
MAR01330,0.9998765,,,,
MAR01332,0.9995747,,,,
MAR01335,0.97364604,,,,
MAR01340,0.88126767,,,,
MAR01346,0.99124193,,,,
MAR01348,0.88126767,,,,
MAR01349,0.88126767,,,,
MAR01351,0.9796882,,,,
MAR01354,0.98624647,,,,
MAR01368,0.3212014,,,,
MAR01375,0.99918145,,,,
MAR01376,0.99917644,,,,
MAR01377,0.7873256,,,,
MAR01378,0.99946517,,,,
MAR01381,0.006254585,,,,
MAR01385,0.88126767,,,,
MAR01401,0.08900217,,,,
MAR01402,0.88126767,,,,
MAR01435,0.5480405,,,,
MAR01437,0.99951184,,,,
MAR01438,0.20305455,,,,
MAR01440,0.99976844,,,,
MAR01442,0.9998129,,,,
MAR01444,0.999383,,,,
MAR01447,0.141013,,,,
MAR01449,0.13720876,,,,
MAR01450,0.80808777,,,,
MAR01453,0.99849606,,,,
MAR01456,0.9992767,,,,
MAR01461,0.9999232,,,,
MAR01462,0.999961,,,,
MAR01464,0.005557167,,,,
MAR01471,0.9999237,,,,
MAR01472,0.999466,,,,
MAR01475,0.94132805,,,,
MAR01476,0.00519088,,,,
MAR01477,0.9998368,,,,
MAR01478,0.99981385,,,,
MAR01479,0.9902238,,,,
MAR01480,0.0014875939,,,,
MAR01496,0.9996406,,,,
MAR01498,0.88126767,,,,
MAR01499,0.83551383,,,,
MAR01506,0.9553466,,,,
MAR01507,0.36452883,,,,
MAR01514,0.9252203,,,,
MAR01518,0.99976677,,,,
MAR01527,0.47403216,,,,
MAR01530,0.96574336,,,,
MAR01531,0.99974185,,,,
MAR01532,8.231218e-05,,,,
MAR01533,0.99955493,,,,
MAR01534,0.99902916,,,,
MAR01555,0.9997979,,,,
MAR01560,0.85958135,,,,
MAR01561,0.9930314,,,,
MAR01566,0.080155976,,,,
MAR01568,0.99985635,,,,
MAR01569,0.9995301,,,,
MAR01570,0.99945647,,,,
MAR01572,0.88126767,,,,
MAR01573,0.99199873,,,,
MAR01574,0.99959594,,,,
MAR01575,0.99870193,,,,
MAR01577,0.724567,,,,
MAR01578,0.9985715,,,,
MAR01582,0.13089722,,,,
MAR01586,0.1578205,,,,
MAR01587,0.9470978,,,,
MAR01589,0.9996871,,,,
MAR01590,0.9990087,,,,
MAR01592,0.9418647,,,,
MAR01593,0.88126767,,,,
MAR01595,0.99931955,,,,
MAR01597,0.88126767,,,,
MAR01598,0.9988022,,,,
MAR01599,0.9994593,,,,
MAR01600,0.99844486,,,,
MAR01601,0.99935573,,,,
MAR01606,0.0146959545,,,,
MAR01607,0.9709089,,,,
MAR01616,0.0020836478,,,,
MAR01617,0.88126767,,,,
MAR01619,0.00077024254,,,,
MAR01621,0.9985415,,,,
MAR01623,0.31386718,,,,
MAR01624,0.9986772,,,,
MAR01626,0.98539937,,,,
MAR01627,0.99863833,,,,
MAR01629,0.0018788466,,,,
MAR01630,0.88126767,,,,
MAR01631,0.88126767,,,,
MAR01633,0.022060828,,,,
MAR01635,0.88126767,,,,
MAR01637,0.96953255,,,,
MAR01638,0.007321815,,,,
MAR01640,0.99987257,,,,
MAR01641,0.64774305,,,,
MAR01642,0.9938514,,,,
MAR01644,0.9844074,,,,
MAR01645,0.88126767,,,,
MAR01646,0.9987569,,,,
MAR01647,0.01856414,,,,
MAR01648,0.0004986858,,,,
MAR01650,0.9628757,,,,
MAR01651,0.9974623,,,,
MAR01653,0.27777827,,,,
MAR01654,0.053381927,,,,
MAR01658,0.89451265,,,,
MAR01664,0.99981123,,,,
MAR01667,0.08926449,,,,
MAR01668,0.007859967,,,,
MAR01669,0.86711603,,,,
MAR01670,0.6866797,,,,
MAR01673,0.9995023,,,,
MAR01676,0.99931955,,,,
MAR01678,0.99849606,,,,
MAR01679,0.88126767,,,,
MAR01681,0.99983096,,,,
MAR01682,0.99847466,,,,
MAR01687,0.99818367,,,,
MAR01689,0.9974623,,,,
MAR01691,0.99813724,,,,
MAR01694,0.04019976,,,,
MAR01695,0.010583758,,,,
MAR01696,0.9997911,,,,
MAR01697,0.99842876,,,,
