,0,0.1,0.2,0.3,0
MAR00004,0.019557558,,,,
MAR00005,0.1182993,,,,
MAR00009,0.19859023,,,,
MAR00010,0.11829935,,,,
MAR00019,0.73059565,,,,
MAR00039,0.37236404,,,,
MAR00040,0.99939823,,,,
MAR00041,0.999683,,,,
MAR00045,0.9991027,,,,
MAR00047,0.9996817,,,,
MAR00048,0.99397624,,,,
MAR00052,0.999316,,,,
MAR00054,0.72637254,,,,
MAR00056,0.021275498,,,,
MAR00058,0.9992812,,,,
MAR00059,0.0072163097,,,,
MAR00061,0.99991846,,,,
MAR00065,0.9992812,,,,
MAR00067,0.99940014,,,,
MAR00069,0.9928328,,,,
MAR00073,0.022206873,,,,
MAR00074,0.07701183,,,,
MAR00075,0.8187871,,,,
MAR00077,0.94399685,,,,
MAR00078,0.999706,,,,
MAR00080,0.9998623,,,,
MAR00081,0.99816775,,,,
MAR00082,0.99816775,,,,
MAR00083,0.009447841,,,,
MAR00084,0.009447841,,,,
MAR00085,0.01800491,,,,
MAR00086,0.9745905,,,,
MAR00089,0.9058871,,,,
MAR00090,0.9058871,,,,
MAR00091,0.09201743,,,,
MAR00092,0.004024324,,,,
MAR00094,0.9999068,,,,
MAR00095,0.89466363,,,,
MAR00099,0.9058871,,,,
MAR00100,0.9058871,,,,
MAR00104,0.9970993,,,,
MAR00109,0.9972485,,,,
MAR00112,0.7951658,,,,
MAR00113,0.75470155,,,,
MAR00114,0.67268157,,,,
MAR00115,0.9792764,,,,
MAR00116,0.9994411,,,,
MAR00117,0.93129003,,,,
MAR00118,0.5253357,,,,
MAR00119,0.9973411,,,,
MAR00120,0.08925009,,,,
MAR00122,0.0062489146,,,,
MAR00123,0.9082495,,,,
MAR00124,0.9750497,,,,
MAR00126,0.99989164,,,,
MAR00127,0.226016,,,,
MAR00131,0.00034135996,,,,
MAR00132,0.00013054379,,,,
MAR00133,0.9947541,,,,
MAR00134,0.9985268,,,,
MAR00135,0.96737605,,,,
MAR00136,0.030543437,,,,
MAR00138,0.9058871,,,,
MAR00139,0.9784162,,,,
MAR00141,0.98779386,,,,
MAR00142,0.07158771,,,,
MAR00145,0.9998367,,,,
MAR00149,0.99986136,,,,
MAR00150,0.99978155,,,,
MAR00152,0.99983,,,,
MAR00153,0.9982663,,,,
MAR00157,0.9779507,,,,
MAR00161,0.99824893,,,,
MAR00169,0.9170348,,,,
MAR00175,0.9902002,,,,
MAR00181,0.99984336,,,,
MAR00182,0.9395447,,,,
MAR00186,0.9998534,,,,
MAR00205,0.99961406,,,,
MAR00218,0.9994923,,,,
MAR00219,0.8818119,,,,
MAR00220,0.0014921927,,,,
MAR00221,0.054860346,,,,
MAR00222,0.017815433,,,,
MAR00227,0.9792764,,,,
MAR00228,0.99972886,,,,
MAR00229,0.7754863,,,,
MAR00251,0.99784684,,,,
MAR00286,0.9058871,,,,
MAR00315,0.9058871,,,,
MAR00316,0.005465787,,,,
MAR00334,0.999435,,,,
MAR00440,0.9058871,,,,
MAR00443,0.9058871,,,,
MAR00444,0.031159425,,,,
MAR00449,0.9989266,,,,
MAR00454,0.9989256,,,,
MAR00455,0.99612623,,,,
MAR00464,0.9085229,,,,
MAR00469,0.9996159,,,,
MAR00481,0.9949675,,,,
MAR00565,0.6133767,,,,
MAR00566,0.6662287,,,,
MAR00567,0.60709083,,,,
MAR00568,0.5765274,,,,
MAR00569,0.7570149,,,,
MAR00571,0.42582414,,,,
MAR00572,0.6133767,,,,
MAR00573,0.60624087,,,,
MAR00574,0.6133767,,,,
MAR00575,0.53518003,,,,
MAR00576,0.4353362,,,,
MAR00577,0.49103165,,,,
MAR00582,0.00022796307,,,,
MAR00583,0.51060545,,,,
MAR00584,0.49042696,,,,
MAR00585,0.6133767,,,,
MAR00586,0.00016188828,,,,
MAR00587,0.20281439,,,,
MAR00595,0.6133767,,,,
MAR00603,0.6133767,,,,
MAR00606,0.65980875,,,,
MAR00608,0.65980875,,,,
MAR00609,0.6133767,,,,
MAR00611,0.47245938,,,,
MAR00612,0.9058871,,,,
MAR00613,0.0052127144,,,,
MAR00617,0.51965314,,,,
MAR00618,0.52377504,,,,
MAR00619,0.6133767,,,,
MAR00620,0.52777725,,,,
MAR00621,0.64532506,,,,
MAR00623,0.04446247,,,,
MAR00624,0.5593792,,,,
MAR00626,0.5067479,,,,
MAR00628,0.66376513,,,,
MAR00631,0.6133767,,,,
MAR00634,0.76825774,,,,
MAR00637,0.5061647,,,,
MAR00639,0.4390075,,,,
MAR00640,0.7210184,,,,
MAR00641,0.99297273,,,,
MAR00647,0.9949077,,,,
MAR00650,0.516918,,,,
MAR00655,0.7170357,,,,
MAR00656,0.7819097,,,,
MAR00658,0.54864013,,,,
MAR00659,0.6133767,,,,
MAR00661,0.63577485,,,,
MAR00662,0.56771207,,,,
MAR00666,0.6133767,,,,
MAR00695,0.46513364,,,,
MAR00696,0.82863533,,,,
MAR00697,0.48394167,,,,
MAR00698,0.4311852,,,,
MAR00699,0.42599776,,,,
MAR00700,0.4718258,,,,
MAR00701,0.5218488,,,,
MAR00702,0.565273,,,,
MAR00704,0.5406853,,,,
MAR00714,0.57944435,,,,
MAR00720,0.6133767,,,,
MAR00721,0.6133767,,,,
MAR00722,0.6133767,,,,
MAR00731,0.6272603,,,,
MAR00732,0.8994358,,,,
MAR00734,0.07961683,,,,
MAR00735,0.9058871,,,,
MAR00737,0.9969902,,,,
MAR00739,0.9919606,,,,
MAR00740,0.9919606,,,,
MAR00748,0.0042048544,,,,
MAR00759,0.99969494,,,,
MAR00763,0.005305009,,,,
MAR00766,0.995,,,,
MAR00769,0.18906349,,,,
MAR00771,0.20746039,,,,
MAR00779,0.046070896,,,,
MAR00781,0.9993456,,,,
MAR00782,0.19481555,,,,
MAR00786,0.8332627,,,,
MAR00787,0.93544334,,,,
MAR00790,0.98607177,,,,
MAR00792,0.6342443,,,,
MAR00793,0.9191023,,,,
MAR00794,0.9293245,,,,
MAR00797,0.9808791,,,,
MAR00798,0.008189013,,,,
MAR00801,0.8789909,,,,
MAR00802,0.9058871,,,,
MAR00803,0.021330982,,,,
MAR00804,0.8332627,,,,
MAR00805,0.34559694,,,,
MAR00806,0.7605713,,,,
MAR00807,0.0036802008,,,,
MAR00808,0.93544334,,,,
MAR00809,0.72541666,,,,
MAR00810,0.34559682,,,,
MAR00811,0.0036802029,,,,
MAR00812,0.019752473,,,,
MAR00814,0.34559673,,,,
MAR00815,0.672189,,,,
MAR00816,0.7936334,,,,
MAR00817,0.9622616,,,,
MAR00819,0.007276573,,,,
MAR00820,0.9775505,,,,
MAR00821,0.02523979,,,,
MAR00822,0.9622616,,,,
MAR00823,0.9775505,,,,
MAR00826,0.47515836,,,,
MAR00827,0.5417822,,,,
MAR00828,0.01010232,,,,
MAR00829,0.8258915,,,,
MAR00830,0.010342218,,,,
MAR00831,0.0056944536,,,,
MAR00832,0.8332628,,,,
MAR00835,0.17278539,,,,
MAR00836,0.914682,,,,
MAR00839,0.9775505,,,,
MAR00841,0.9770256,,,,
MAR00842,0.34559673,,,,
MAR00843,0.7919597,,,,
MAR00848,0.9862162,,,,
MAR00851,0.9740559,,,,
MAR00852,0.98051906,,,,
MAR00853,0.98850024,,,,
MAR00854,0.97990453,,,,
MAR00855,0.9622616,,,,
MAR00860,0.8001171,,,,
MAR00864,0.85593086,,,,
MAR00865,0.72541654,,,,
MAR00866,0.8559308,,,,
MAR00867,0.34559682,,,,
MAR00868,0.72541654,,,,
MAR00870,0.8559307,,,,
MAR00873,0.8559307,,,,
MAR00874,0.9997857,,,,
MAR00876,0.9749956,,,,
MAR00877,0.9622616,,,,
MAR00878,0.8559308,,,,
MAR00883,0.9034351,,,,
MAR00884,0.3455968,,,,
MAR00885,0.72541654,,,,
MAR00886,0.8559308,,,,
MAR00887,0.34559676,,,,
MAR00901,0.82220113,,,,
MAR00902,0.4774385,,,,
MAR00903,0.72541654,,,,
MAR00904,0.8559307,,,,
MAR00905,0.34559682,,,,
MAR00906,0.9440749,,,,
MAR00907,0.7254164,,,,
MAR00908,0.8559308,,,,
MAR00909,0.8559308,,,,
MAR00910,0.98517656,,,,
MAR00912,0.81650996,,,,
MAR00913,0.9058871,,,,
MAR00914,0.8332627,,,,
MAR00919,0.96491075,,,,
MAR00920,0.99833506,,,,
MAR00921,0.042373158,,,,
MAR00929,0.0032762322,,,,
MAR00941,0.9999156,,,,
MAR00959,0.9978619,,,,
MAR00961,0.9997875,,,,
MAR00966,0.12784141,,,,
MAR00967,0.99763453,,,,
MAR00968,0.9996797,,,,
MAR00973,0.9995333,,,,
MAR00976,0.99974996,,,,
MAR00978,0.99959534,,,,
MAR00979,0.9641195,,,,
MAR00980,0.9994704,,,,
MAR00981,0.9997631,,,,
MAR01012,0.9996123,,,,
MAR01015,0.91861254,,,,
MAR01016,0.9181443,,,,
MAR01019,0.9996753,,,,
MAR01024,0.99973434,,,,
MAR01030,0.051562145,,,,
MAR01031,0.99977976,,,,
MAR01032,0.9998392,,,,
MAR01038,0.0080886325,,,,
MAR01046,0.007920668,,,,
MAR01051,0.98274773,,,,
MAR01056,0.9058871,,,,
MAR01060,0.9058871,,,,
MAR01075,0.999801,,,,
MAR01076,0.9058871,,,,
MAR01078,0.9058871,,,,
MAR01083,0.023995062,,,,
MAR01084,0.5321589,,,,
MAR01086,0.99349385,,,,
MAR01094,0.36907065,,,,
MAR01095,0.9680739,,,,
MAR01096,0.9950546,,,,
MAR01118,0.023995046,,,,
MAR01126,0.9997949,,,,
MAR01136,0.9865565,,,,
MAR01138,0.99954164,,,,
MAR01140,0.999385,,,,
MAR01141,0.02399505,,,,
MAR01142,0.9979067,,,,
MAR01145,0.5244501,,,,
MAR01162,0.99953794,,,,
MAR01164,0.9864654,,,,
MAR01166,0.9949675,,,,
MAR01168,0.8666419,,,,
MAR01171,0.99765813,,,,
MAR01172,0.9058871,,,,
MAR01173,0.05910066,,,,
MAR01188,0.34744397,,,,
MAR01203,0.99741036,,,,
MAR01205,0.99733526,,,,
MAR01207,0.9864654,,,,
MAR01209,0.9949675,,,,
MAR01211,0.8666419,,,,
MAR01213,0.99765813,,,,
MAR01214,0.9058871,,,,
MAR01215,0.10504978,,,,
MAR01228,0.99803203,,,,
MAR01231,0.9993456,,,,
MAR01234,0.99974984,,,,
MAR01235,0.999385,,,,
MAR01236,0.99974984,,,,
