,0,0.1,0.2,0.3,0
MAR00002,0.100533105,,,,
MAR00004,0.057620615,,,,
MAR00005,0.06111909,,,,
MAR00007,0.09462573,,,,
MAR00008,0.050235834,,,,
MAR00009,0.7768364,,,,
MAR00010,0.0611191,,,,
MAR00013,0.77683634,,,,
MAR00014,0.77683634,,,,
MAR00018,0.05940721,,,,
MAR00019,0.7768364,,,,
MAR00020,0.011564939,,,,
MAR00038,0.98022616,,,,
MAR00039,0.912895,,,,
MAR00040,0.9990037,,,,
MAR00041,0.9996308,,,,
MAR00045,0.9997695,,,,
MAR00053,0.96701425,,,,
MAR00054,0.9771005,,,,
MAR00056,0.014740701,,,,
MAR00058,0.99991024,,,,
MAR00059,0.2358378,,,,
MAR00061,0.9999536,,,,
MAR00063,0.91244525,,,,
MAR00064,0.9912935,,,,
MAR00066,0.945197,,,,
MAR00067,0.99990153,,,,
MAR00069,0.99643,,,,
MAR00073,0.14678217,,,,
MAR00074,0.08073361,,,,
MAR00075,0.0029910707,,,,
MAR00076,0.4212768,,,,
MAR00077,0.99289316,,,,
MAR00078,0.99998534,,,,
MAR00080,0.99996805,,,,
MAR00081,0.99594146,,,,
MAR00082,0.99594146,,,,
MAR00083,0.018939767,,,,
MAR00084,0.013784937,,,,
MAR00085,0.013784931,,,,
MAR00086,0.99791676,,,,
MAR00089,0.7768364,,,,
MAR00090,0.23520951,,,,
MAR00091,0.23043413,,,,
MAR00092,0.012965699,,,,
MAR00094,0.9999206,,,,
MAR00096,0.99398804,,,,
MAR00097,0.99988794,,,,
MAR00099,0.7768364,,,,
MAR00100,0.7768364,,,,
MAR00102,0.8761738,,,,
MAR00105,0.9093417,,,,
MAR00106,0.97911054,,,,
MAR00107,0.49857298,,,,
MAR00110,0.68221617,,,,
MAR00111,0.9919492,,,,
MAR00112,0.991795,,,,
MAR00120,0.65725845,,,,
MAR00122,0.039869204,,,,
MAR00123,0.9832404,,,,
MAR00126,0.9991763,,,,
MAR00127,0.791122,,,,
MAR00128,0.55647516,,,,
MAR00131,0.006184813,,,,
MAR00132,0.0015454127,,,,
MAR00133,0.97847134,,,,
MAR00134,0.9994103,,,,
MAR00136,0.21480179,,,,
MAR00137,0.9999528,,,,
MAR00138,0.7768364,,,,
MAR00139,0.99053556,,,,
MAR00141,0.99395645,,,,
MAR00142,0.9297434,,,,
MAR00143,0.9181292,,,,
MAR00145,0.9999449,,,,
MAR00149,0.9999523,,,,
MAR00150,0.9999423,,,,
MAR00151,0.9999435,,,,
MAR00153,0.9994011,,,,
MAR00157,0.98799455,,,,
MAR00160,0.99699783,,,,
MAR00169,0.08973963,,,,
MAR00175,0.8345953,,,,
MAR00182,0.16291416,,,,
MAR00194,0.99991775,,,,
MAR00198,0.99992,,,,
MAR00202,0.99991536,,,,
MAR00205,0.99981326,,,,
MAR00207,0.99991405,,,,
MAR00211,0.99991345,,,,
MAR00215,0.9999192,,,,
MAR00218,0.999793,,,,
MAR00219,0.9906907,,,,
MAR00220,0.5330437,,,,
MAR00221,0.7788626,,,,
MAR00224,0.9999311,,,,
MAR00229,0.9969812,,,,
MAR00231,0.99990904,,,,
MAR00235,0.9999131,,,,
MAR00239,0.99992085,,,,
MAR00243,0.9999163,,,,
MAR00247,0.9999155,,,,
MAR00251,0.9978175,,,,
MAR00252,0.98243064,,,,
MAR00253,0.9999193,,,,
MAR00257,0.9999157,,,,
MAR00265,0.9999206,,,,
MAR00269,0.9999137,,,,
MAR00273,0.9999149,,,,
MAR00277,0.9999145,,,,
MAR00281,0.99991536,,,,
MAR00286,0.7768364,,,,
MAR00287,0.99991786,,,,
MAR00291,0.9999137,,,,
MAR00295,0.9999187,,,,
MAR00299,0.9999145,,,,
MAR00303,0.9999161,,,,
MAR00307,0.99991524,,,,
