,predicted_scores,similarity_scores
MAR01462,0.9999967519999998,0.7071067811865475
MAR04890,0.9999951639999999,0.5345306265098357
MAR04898,0.999994104,0.5773913164520752
MAR11318,0.99999368,0.8944271909999159
MAR04883,0.999989866,0.5345306265098357
MAR07778,0.99998904,0.4999999999999999
MAR07780,0.9999888459999999,0.4999999999999999
MAR03868,0.9999819280000001,0.7499999999999999
MAR04263,0.999981712,0.7499733390210114
MAR06861,0.999981092,0.6123724356957946
MAR08729,0.9999784679999999,0.6741867913004946
MAR07771,0.999977288,0.35355339059327373
MAR04012,0.99997642,0.6324390458761339
MAR04200,0.99997623,0.577370791726521
MAR04922,0.9999744180000001,0.4999999999999999
MAR07775,0.999973818,0.35355339059327373
MAR01461,0.999973704,0.7071067811865475
MAR04271,0.999973202,0.6546736165870798
MAR08771,0.999971146,0.8571385046614917
MAR08557,0.9999699320000002,0.8366574776957213
MAR07772,0.9999696420000002,0.35355339059327373
MAR04690,0.9999695300000001,0.6859943405700353
MAR00941,0.9999687780000001,0.8571385046615511
MAR04093,0.9999684820000001,0.7303123185183974
MAR11430,0.9999662380000001,0.6859943405700353
MAR03889,0.999965932,0.903641658333998
MAR04915,0.999964632,0.4999999999999999
MAR03975,0.999964168,0.6761120738904928
MAR05332,0.999963786,0.8404924034704239
MAR00411,0.999963666,0.8380758043367867
MAR02424,0.99996361,0.8380758043367867
MAR08512,0.99996255,0.799991469032612
MAR06729,0.999961546,0.749973339021012
MAR04105,0.9999615380000002,0.6859943405700353
MAR05449,0.9999609740000001,0.9359709753334591
MAR00080,0.999960604,0.7885941687770962
MAR03406,0.9999585679999999,0.998244632812406
MAR03407,0.9999585679999999,0.998244632812406
MAR05413,0.99995814,0.6324555320336759
MAR02304,0.999957698,0.838075804336776
MAR01913,0.999957698,0.9454809483624022
MAR12125,0.99995708,0.5000059241355319
MAR07149,0.99995639,0.5773502691896258
MAR04058,0.9999561720000001,0.5999829380651369
MAR04174,0.9999556779999998,0.6859943405700353
MAR01785,0.9999534860000001,0.8571385046615124
MAR01571,0.9999534860000001,0.8571385046615025
MAR01781,0.9999534860000001,0.8571385046614992
MAR00079,0.99995116,0.7071067811865475
MAR06324,0.99995116,0.7071067811865475
MAR04267,0.999949734,0.4743096127139801
MAR05333,0.999949402,0.8660254037844387
MAR08917,0.9999490099999999,0.8660254037844387
MAR06321,0.99994783,0.7071067811865475
MAR04905,0.9999460679999999,0.5
MAR06375,0.9999453300000001,0.8660254037844387
MAR07776,0.9999450719999998,0.35355339059327373
MAR04095,0.9999447140000001,0.7303123185184457
MAR04260,0.999942974,0.7697957985989206
MAR03996,0.999942918,0.7499999999999999
MAR08629,0.9999428499999998,0.8660254037844387
MAR06874,0.9999421,0.5103103630798288
MAR07785,0.9999417939999999,0.7071067811865475
MAR05314,0.99994002,0.8660254037844387
MAR06534,0.999938924,0.9486832980505138
MAR01029,0.9999387439999999,0.6666429688610931
MAR05324,0.999938322,0.8660254037844387
MAR03908,0.9999382520000001,0.6936781035040571
MAR05308,0.9999379359999999,0.8660254037844387
MAR05305,0.999936308,0.8660254037844387
MAR05318,0.99993532,0.8164965809277261
MAR06377,0.9999351280000001,0.8660254037844387
MAR03106,0.999933568,0.5773502691896258
MAR03956,0.999931552,0.5773707917265081
MAR04283,0.9999305719999999,0.8447382045216716
MAR08768,0.99993044,0.7171233274562219
MAR00469,0.999930384,0.8571385046615125
MAR05326,0.9999298940000001,0.8164965809277261
MAR00137,0.99992907,0.7071067811865475
MAR08938,0.9999287320000001,0.9486832980505138
MAR01036,0.999927968,0.9947533013708776
MAR11398,0.9999271459999999,0.5999829380651696
MAR03965,0.999924418,0.6333209984133505
MAR11312,0.9999237080000001,0.8380758043367973
MAR05319,0.9999232960000001,0.8164965809277261
MAR06812,0.999923272,0.8380758043367759
MAR05315,0.999922864,0.8660254037844387
MAR05317,0.99992207,0.8164965809277261
MAR01568,0.9999198759999999,0.8198869995025185
MAR01911,0.9999196999999999,0.8380758043367983
MAR07821,0.9999192859999999,0.7071067811865475
MAR08721,0.999919116,0.7071067811865475
MAR09486,0.9999186640000002,0.5425896043441131
MAR00149,0.999918564,0.7999999999999998
MAR01589,0.999918508,0.7333941198015619
MAR05316,0.999918342,0.8660254037844387
MAR04681,0.9999168519999999,0.6859943405700353
MAR05988,0.99991622,0.909907157067554
MAR05311,0.9999158139999998,0.8660254037844387
MAR07958,0.9999157180000001,0.8571385046614878
MAR03806,0.9999154820000001,0.7777725118483119
MAR09901,0.999915322,0.8571385046615241
MAR05335,0.999914474,0.9428090415820635
MAR06787,0.999913354,0.6859943405700353
MAR03822,0.9999121599999998,0.7777725118482963
MAR08892,0.9999113880000001,0.8819141181817939
MAR00186,0.999911024,0.7999999999999998
MAR02393,0.999910638,0.8391463916782738
MAR09903,0.9999102319999998,0.8380758043367971
MAR01786,0.9999100499999999,0.7969662057053405
MAR01735,0.9999100499999999,0.7969662057053186
MAR02054,0.9999099960000001,0.733394119801563
MAR02051,0.9999099960000001,0.7333941198015623
MAR02057,0.9999099960000001,0.7333941198015392
MAR11368,0.99990998,0.733394119801575
MAR02047,0.99990998,0.7333941198015616
MAR02043,0.99990998,0.7333941198015619
MAR03974,0.99990978,0.7453559952126189
MAR05024,0.9999095600000001,0.9152553237716281
MAR00181,0.999909296,0.7999999999999998
MAR13003,0.999909226,0.6123724356957946
MAR02495,0.9999084699999999,0.8391463916782738
MAR09902,0.9999080860000001,0.7071067811865475
MAR06596,0.999908012,0.8380758043367909
MAR00754,0.9999077599999999,0.8391463916782738
MAR02472,0.999907758,0.8391463916782738
MAR04108,0.999907634,0.5477342388888407
MAR02368,0.9999074020000001,0.8391463916782738
MAR04967,0.999907032,0.883194467562194
MAR00334,0.9999060500000001,0.8380758043368006
MAR07636,0.9999060500000001,0.7193972591928793
MAR03477,0.9999050800000001,0.5999829380652068
MAR06329,0.9999047939999999,0.9192388155425116
MAR12158,0.99990454,0.8391463916782738
MAR01838,0.99990454,0.8629103514494146
MAR01138,0.9999045279999998,0.7333941198015308
MAR10146,0.999904352,0.8380758043367641
MAR04336,0.9999041720000001,0.73246789820878
MAR03013,0.999904148,0.8380758043368075
MAR04793,0.99990349,0.8380758043367548
MAR11857,0.999903252,0.8380758043368103
MAR07064,0.9999023900000001,0.8571385046615582
MAR02425,0.9999019819999999,0.838075804336794
MAR00145,0.9999018600000001,0.7999999999999998
MAR08658,0.9999014220000001,0.8380758043367647
MAR06597,0.999900852,0.8380758043368004
MAR10147,0.9999007860000001,0.8380758043367682
MAR12154,0.999899024,0.8391463916782738
MAR01777,0.99989902,0.7333941198015623
MAR06707,0.999899016,0.6859943405700353
MAR06816,0.999898852,0.8380758043367642
MAR08935,0.9998987460000001,0.8380758043367749
MAR05320,0.999898432,0.8660254037844387
