,predicted_scores,similarity_scores
MAR04898,0.999995614,0.5773915719238144
MAR01462,0.9999918300000001,0.7071067811865475
MAR11318,0.9999879199999999,0.8944271909999159
MAR04883,0.9999872919999999,0.5345306771843656
MAR07793,0.9999866340000001,0.7071067811865475
MAR07779,0.999986568,0.39223550762471326
MAR07777,0.9999861400000001,0.39223550762471326
MAR04888,0.999985366,0.5345306771843656
MAR07771,0.9999819679999999,0.35355339059327373
MAR08721,0.9999819259999999,0.7071067811865475
MAR03946,0.9999818300000001,0.4999999999999999
MAR07776,0.9999804219999999,0.35355339059327373
MAR07775,0.999980002,0.35355339059327373
MAR07772,0.9999799680000001,0.35355339059327373
MAR04890,0.9999770659999999,0.5345306771843656
MAR04058,0.99997454,0.5999828318812638
MAR08729,0.99997293,0.6741867099566602
MAR00479,0.999969914,0.6999871239109408
MAR04263,0.999969248,0.7499731730872552
MAR08771,0.999967322,0.8571384775744796
MAR04012,0.9999637199999999,0.6324389432752826
MAR01461,0.99996352,0.7071067811865475
MAR04267,0.9999623099999999,0.4743094133329433
MAR04093,0.99996185,0.5999828318812247
MAR04118,0.999961138,0.7499999999999999
MAR00478,0.9999598759999999,0.7171232413347453
MAR04533,0.999957162,0.7171481581459362
MAR01776,0.9999562799999999,0.8571384775744598
MAR01581,0.9999562799999999,0.8571384775744509
MAR01781,0.9999562799999999,0.8571384775744502
MAR01785,0.9999562799999999,0.8571384775744598
MAR04690,0.999956244,0.6859943405700353
MAR03889,0.9999550660000001,0.9036417341304757
MAR05332,0.9999497500000001,0.8404923703709738
MAR04534,0.999948472,0.7715285759062582
MAR04168,0.9999482399999999,0.6708347890007254
MAR04260,0.999947414,0.7777724790767576
MAR00061,0.9999463199999999,0.7071067811865475
MAR00411,0.9999458200000001,0.8571384775744121
MAR12125,0.999944734,0.707115211318018
MAR09802,0.999943168,0.6454787542146725
MAR05449,0.999942628,0.9359709753334591
MAR08629,0.9999407,0.8660254037844387
MAR03106,0.9999403499999999,0.5773502691896258
MAR04095,0.999939028,0.730312415448656
MAR00941,0.999937362,0.8571384775744636
MAR06377,0.999933718,0.8660254037844387
MAR04169,0.999933622,0.5164827425559698
MAR05314,0.999933106,0.8660254037844387
MAR03832,0.9999320700000001,0.5999828318812153
MAR07778,0.9999308920000001,0.39223550762471326
MAR05318,0.999930336,0.8164965809277261
MAR07780,0.9999289020000001,0.39223550762471326
MAR00137,0.9999284100000001,0.7071067811865475
MAR00080,0.9999255399999999,0.7885941301699965
MAR08917,0.9999251820000001,0.8660254037844387
MAR05316,0.999925118,0.8660254037844387
MAR04174,0.9999242339999999,0.6859943405700353
MAR05335,0.999921984,0.9428090415820635
MAR05317,0.9999202699999999,0.8164965809277261
MAR08938,0.99991976,0.9486832980505138
MAR04500,0.9999196959999999,0.4472231926671624
MAR06371,0.999916772,0.7071067811865475
MAR04108,0.999912488,0.5129810644699982
MAR04097,0.99991231,0.6666666666666667
MAR03952,0.999912114,0.35355339059327373
MAR06374,0.999912076,0.7071067811865475
MAR03806,0.999908486,0.7777724790767415
MAR01471,0.9999084359999999,0.9947533015490144
MAR06729,0.9999032299999999,0.7499731730872544
MAR03822,0.9999029260000001,0.7777724790767397
MAR06921,0.9998978620000001,0.9486855600597859
MAR00476,0.999893428,0.8380757760178594
MAR04285,0.99989243,0.7777724790767214
MAR00469,0.9998922459999999,0.8571384775744566
MAR07149,0.9998916999999998,0.5773502691896257
MAR03937,0.999889986,0.5999828318812283
MAR02304,0.9998897259999999,0.8380757760178594
MAR01913,0.9998897259999999,0.9454809408606584
MAR03908,0.999889056,0.6936780420667286
MAR07865,0.9998869039999999,0.6123724356957947
MAR04531,0.99988313,0.7171481581459375
MAR06861,0.9998823380000001,0.6123724356957946
MAR03238,0.999881422,0.7999999999999998
MAR06372,0.9998804339999999,0.8164965809277261
MAR04323,0.99988037,0.7453559952465612
MAR03996,0.99987905,0.7499999999999999
MAR08677,0.99987529,0.7071067811865475
MAR04287,0.999874906,0.7777724790767444
MAR09901,0.999873268,0.8571384775744363
MAR00149,0.99987324,0.7999999999999998
MAR04905,0.9998704139999999,0.5
MAR08892,0.999866426,0.8380757760178588
MAR11312,0.999865994,0.8380757760178588
MAR00145,0.9998612719999999,0.7999999999999998
MAR08512,0.999859702,0.7999914159406276
MAR04114,0.99985833,0.5999828318812346
MAR01640,0.999856988,0.7071067811865475
MAR06373,0.9998569399999999,0.7071067811865475
MAR01032,0.999856636,0.9505166563857561
MAR04105,0.999856246,0.6859943405700353
MAR11857,0.9998510100000001,0.8380757760178583
MAR11225,0.9998492779999999,0.771528575906252
MAR03835,0.9998476079999999,0.7905609323101468
MAR08698,0.999846316,0.8447382133154828
MAR05024,0.9998452760000001,0.9152553237716281
MAR04008,0.9998444719999998,0.6123724356957946
MAR01911,0.9998433099999999,0.8380757760178581
MAR08661,0.9998433099999999,0.838075776017858
MAR02393,0.999843272,0.8391463916782738
MAR06329,0.999841232,0.9192388155425116
MAR03899,0.9998404000000001,0.5
MAR06279,0.99983687,0.8547043234472845
MAR04874,0.9998368040000001,0.40826289240211033
MAR00363,0.99983544,0.8380757760178632
