,predicted_scores,similarity_scores
MAR01462,0.99999774,0.7071067811865475
MAR04894,0.999996995,0.9999999999999998
MAR04885,0.9999969,0.9999999999999998
MAR04890,0.9999969,0.5345293115982761
MAR04898,0.9999956,0.5773846875192289
MAR07793,0.9999945125,0.9999999999999998
MAR04883,0.9999938,0.5345293115982761
MAR00078,0.9999913,0.5
MAR04900,0.9999911250000001,0.9999999999999998
MAR11318,0.9999907,0.8944271909999159
MAR03868,0.9999901,0.7499999999999999
MAR07779,0.999990075,0.9999999999999998
MAR07777,0.999989665,0.9999999999999998
MAR04012,0.99998903,0.6324417081724415
MAR04263,0.9999889,0.7499776446391775
MAR03955,0.9999887375000001,1.0
MAR01640,0.9999887,0.7071067811865475
MAR05406,0.9999883625,0.9999999999999999
MAR04271,0.9999877,0.6546703955894079
MAR01461,0.99998736,0.7071067811865475
MAR06861,0.9999862,0.6123724356957946
MAR01621,0.999985935,0.9999999999999998
MAR08771,0.99998546,0.8571392075211369
MAR04014,0.9999854499999999,1.0
MAR08917,0.99998534,0.8660254037844387
MAR08528,0.99998486,0.5345293115982755
MAR03980,0.999984725,1.0
MAR00080,0.9999839,0.7885951705586075
MAR04888,0.9999822125,0.9999999999999998
MAR07776,0.999982,0.35355339059327373
MAR07772,0.99998176,0.35355339059327373
MAR05122,0.99998166,1.0
MAR09902,0.9999815,0.7071067811865475
MAR08729,0.9999815,0.6741889020346208
MAR08557,0.9999809,0.8366578892612643
MAR03947,0.9999806250000001,0.9999999999999998
MAR04093,0.99998057,0.730309803360493
MAR08512,0.9999801,0.7999928466683426
MAR00479,0.9999800424999999,0.9999999999999998
MAR00941,0.9999796,0.8571392075211495
MAR04915,0.9999795,0.4999999999999999
MAR05333,0.999979,0.8660254037844387
MAR08629,0.9999788,0.8660254037844387
MAR02039,0.99997795,0.316233421171507
MAR05305,0.9999778,0.8660254037844387
MAR05363,0.9999777425,0.9999999999999998
MAR04118,0.9999773,0.9999999999999998
MAR02424,0.9999771,0.8380765391627182
MAR00478,0.9999765125000001,1.0
MAR03960,0.9999765,1.0
MAR04116,0.999976425,0.9999999999999998
MAR05413,0.9999764,0.6324555320336759
MAR01542,0.99997517,1.0
MAR05332,0.9999751,0.8404932623378041
MAR03889,0.9999751,0.9036396915544357
MAR02593,0.9999750125,1.0
MAR05326,0.9999747,0.8164965809277261
MAR00411,0.999974,0.8380765391627182
MAR04073,0.9999738375,1.0
MAR07778,0.9999738,0.4999999999999999
MAR05324,0.9999734,0.8660254037844387
MAR05319,0.9999734,0.8164965809277261
MAR05342,0.999973235,1.0
MAR04926,0.9999727749999999,1.0
MAR01581,0.999972715,1.0
MAR07780,0.9999727,0.4999999999999999
MAR11430,0.99997234,0.6859943405700353
MAR06377,0.9999721,0.8660254037844387
MAR01169,0.9999719775,1.0
MAR01568,0.99997187,0.8198877410774223
MAR01776,0.9999717475000001,1.0
MAR04122,0.9999717450000001,1.0
MAR04083,0.999971335,1.0
MAR00450,0.9999713299999999,1.0
MAR01913,0.9999709,0.9454811430221174
MAR02304,0.9999709,0.8380765391627147
MAR01009,0.9999708525000001,0.9999999999999998
MAR04360,0.9999703600000001,1.0
MAR04200,0.9999701,0.5773674775850046
MAR04922,0.9999696,0.4999999999999999
MAR04358,0.999969595,1.0
MAR05314,0.99996924,0.8660254037844387
MAR08558,0.9999682825,1.0
MAR04175,0.9999682150000001,1.0
MAR05316,0.99996805,0.8660254037844387
MAR05308,0.9999677,0.8660254037844387
MAR05317,0.9999677,0.8164965809277261
MAR06532,0.9999676550000001,0.9999999999999998
MAR06525,0.9999676550000001,1.0
MAR07799,0.9999676325,1.0
MAR00997,0.9999673600000001,0.9999999999999999
MAR00954,0.999967255,1.0
MAR08555,0.9999672175,0.9999999999999999
MAR08556,0.99996716,1.0
MAR00950,0.9999670875,1.0
MAR08554,0.99996707,1.0
MAR04010,0.9999670375,1.0
MAR00946,0.99996698,1.0
MAR00942,0.9999669600000001,1.0
MAR00995,0.99996683,0.9999999999999999
MAR04267,0.99996674,0.4743147862504813
MAR00936,0.999966625,1.0
MAR00933,0.9999665674999999,1.0
MAR00937,0.99996654,1.0
MAR00938,0.9999665125,1.0
MAR00931,0.9999665025,0.9999999999999999
