,predicted_scores,similarity_scores
MAR04898,0.9999958,0.5773851175535859
MAR03946,0.9999949,0.4999999999999999
MAR04900,0.99999431,0.9999999999999998
MAR04894,0.999994175,0.9999999999999998
MAR03952,0.9999931,0.35355339059327373
MAR00479,0.9999912,0.6999891359455876
MAR08721,0.9999908,0.7071067811865475
MAR04883,0.9999883,0.5345293969007368
MAR05122,0.999987245,1.0
MAR05023,0.9999864,0.7071067811865475
MAR00078,0.99998534,0.5
MAR00478,0.9999852,0.717125417171721
MAR01462,0.9999852,0.7071067811865475
MAR04263,0.99998426,0.7499773653236688
MAR04888,0.99998343,0.5345293969007368
MAR06916,0.9999808575,0.9999999999999998
MAR05105,0.9999808400000001,1.0
MAR03980,0.9999807775,1.0
MAR07793,0.99998,0.7071067811865475
MAR04533,0.9999796,0.7171464404652168
MAR08859,0.9999795,0.7071067811865475
MAR04058,0.99997866,0.5999855145940742
MAR08512,0.99997747,0.7999927572970074
MAR03955,0.9999774674999999,1.0
MAR08729,0.999977,0.6741887651041187
MAR04004,0.9999763325,1.0
MAR04890,0.9999763,0.5345293969007368
MAR04118,0.9999759,0.7499999999999999
MAR03889,0.9999759,0.9036398191456528
MAR11318,0.9999753,0.8944271909999159
MAR07779,0.9999753,0.3922350017654399
MAR07777,0.99997497,0.3922350017654399
MAR04014,0.9999745624999999,1.0
MAR04083,0.9999742525,0.9999999999999998
MAR04690,0.9999734,0.6859943405700353
MAR08771,0.9999732,0.8571391619245001
MAR02593,0.999972935,1.0
MAR05342,0.99997165,1.0
MAR01461,0.9999714,0.7071067811865475
MAR01640,0.99997044,0.7071067811865475
MAR06510,0.9999703,0.6999891359455899
MAR03960,0.9999696425,1.0
MAR08629,0.9999696,0.8660254037844387
MAR04012,0.9999695,0.6324415354613879
MAR04926,0.9999693,1.0
MAR03835,0.99996924,0.7905622578150417
MAR00080,0.99996805,0.7885951055700077
MAR03947,0.9999679625,0.9999999999999998
MAR03868,0.9999676325,0.9999999999999998
MAR12125,0.9999676,0.7071138940424097
MAR05442,0.9999671874999999,1.0
MAR00450,0.9999668875000001,1.0
MAR04531,0.9999654,0.7171464404652156
MAR03996,0.9999653,0.7499999999999999
MAR01581,0.9999652,0.8571391619245174
MAR01776,0.9999652,0.8571391619245128
MAR01781,0.9999652,0.8571391619245129
MAR01785,0.9999652,0.8571391619245128
MAR04180,0.999963575,0.9999999999999998
MAR05335,0.9999629,0.9428090415820635
MAR04260,0.99996257,0.7777733070454442
MAR04456,0.9999621,0.7071067811865475
MAR06321,0.9999613175,1.0
MAR05332,0.99996126,0.8404932066203559
MAR04128,0.99996126,0.7071067811865475
MAR00411,0.99996066,0.8571391619244616
MAR05363,0.9999606550000001,1.0
MAR06912,0.999960445,1.0
MAR04534,0.99996006,0.771526727975997
MAR03975,0.9999599674999999,0.9999999999999999
MAR12040,0.99995995,0.5
MAR04168,0.9999584,0.6708325395220927
MAR05127,0.9999581275,0.9999999999999999
MAR11430,0.99995804,0.6859943405700353
MAR07701,0.999956935,1.0
MAR03871,0.9999567874999999,0.9999999999999998
MAR04526,0.9999567675000001,1.0
MAR04122,0.99995645,1.0
MAR04177,0.9999564325,1.0
MAR00079,0.9999550574999999,1.0
MAR06324,0.9999550574999999,1.0
MAR07771,0.9999548,0.35355339059327373
MAR04849,0.9999546,0.7071067811865475
MAR09802,0.9999546,0.6454816404112657
MAR01571,0.9999545849999999,0.9999999999999999
MAR07799,0.999954255,1.0
MAR03238,0.9999542,0.7999999999999998
MAR01542,0.9999536600000001,1.0
MAR00061,0.9999536,0.7071067811865475
MAR01009,0.9999533375,0.9999999999999998
MAR00137,0.9999528,0.7071067811865475
MAR04116,0.9999527074999999,0.9999999999999998
MAR00149,0.9999523,0.7999999999999998
MAR04186,0.999952225,1.0
MAR00752,0.999951955,1.0
MAR00410,0.9999517075,0.9999999999999998
MAR08917,0.9999516,0.8660254037844387
MAR04885,0.99995127,0.9999999999999998
MAR00476,0.9999504,0.8380764914922517
MAR00756,0.99995031,1.0
MAR04267,0.9999502,0.4743144506290664
MAR07775,0.99994934,0.35355339059327373
MAR05406,0.9999483825,0.9999999999999999
MAR04500,0.99994826,0.4472216930147255
MAR03426,0.999947365,0.9999999999999999
MAR03409,0.999947135,1.0
MAR05308,0.9999470025,1.0
MAR00469,0.99994683,0.857139161924526
MAR06861,0.9999466,0.6123724356957946
MAR09719,0.9999463274999999,0.9999999999999999
MAR03428,0.999946125,1.0
MAR03422,0.99994609,1.0
MAR03427,0.9999456125,1.0
MAR00916,0.9999455799999999,1.0
MAR03421,0.999945555,0.9999999999999999
MAR03408,0.999945375,0.9999999999999999
MAR03429,0.9999453375,1.0
MAR03407,0.9999453174999999,0.9999999999999999
MAR03411,0.99994525,1.0
MAR03433,0.9999452424999999,0.9999999999999999
MAR03431,0.999945225,1.0
MAR03425,0.9999451925,0.9999999999999999
MAR03406,0.9999451,0.9999999999999999
MAR03398,0.9999450175,1.0
MAR03416,0.9999449850000001,1.0
MAR03413,0.999944975,1.0
MAR03423,0.9999449174999999,1.0
MAR00145,0.9999449,0.7999999999999998
MAR03430,0.999944875,1.0
MAR03424,0.9999447125,0.9999999999999999
MAR03414,0.9999446750000001,1.0
MAR03432,0.9999446275,0.9999999999999999
MAR00941,0.99994457,0.857139161924529
MAR00950,0.99994424,0.9999999999999999
MAR00954,0.9999438374999999,1.0
MAR08557,0.99994366,1.0
MAR00151,0.9999435,0.7999999999999998
MAR08938,0.9999434,0.9486832980505138
MAR04174,0.99994314,0.6859943405700353
MAR00942,0.99994289,1.0
MAR02424,0.999942755,1.0
MAR00946,0.9999425575,0.9999999999999999
MAR00150,0.9999423,0.7999999999999998
MAR04093,0.99994195,0.5999855145940871
MAR09938,0.99994195,0.7999999999999998
MAR11312,0.9999417,0.8380764914922506
MAR13003,0.99994123,0.6123724356957946
MAR09901,0.99994063,0.8571391619244875
MAR07638,0.9999401625000001,0.9999999999999998
MAR00995,0.99994016,1.0
MAR07776,0.99993956,0.35355339059327373
MAR00931,0.9999395025,0.9999999999999999
MAR00936,0.9999395025,0.9999999999999999
MAR00934,0.999939415,1.0
MAR00940,0.99993941,0.9999999999999999
MAR00938,0.999939385,1.0
MAR00935,0.999939385,1.0
MAR00939,0.9999393225,1.0
MAR00937,0.999939315,1.0
MAR00932,0.999939315,0.9999999999999999
MAR00933,0.99993929,0.9999999999999999
MAR06383,0.9999392,0.8164965809277261
MAR04105,0.9999391,0.6859943405700353
MAR07867,0.9999390875,1.0
MAR04114,0.99993896,0.5999855145940705
MAR06377,0.99993885,0.8660254037844387
MAR07737,0.999938725,1.0
MAR01396,0.999938725,1.0
MAR04420,0.9999386825000001,1.0
MAR06372,0.99993837,0.8164965809277261
MAR04175,0.9999383374999999,1.0
MAR06380,0.999938105,1.0
MAR05310,0.999938105,1.0
MAR03956,0.9999376225,1.0
MAR05413,0.9999375100000001,1.0
MAR09885,0.9999373,0.7071067811865475
MAR02591,0.9999366075,1.0
MAR07772,0.9999362,0.35355339059327373
MAR01913,0.9999361,0.9454811303938545
MAR02304,0.9999361,0.838076491492247
MAR04187,0.9999356175,1.0
MAR02425,0.99993527,0.8380764914922292
MAR08879,0.9999348,0.6708203932499369
MAR05333,0.999934775,1.0
MAR06729,0.99993455,0.7499773653236661
MAR04108,0.9999335,0.5129823319696765
MAR05324,0.9999331225000001,1.0
MAR08661,0.999933,0.8380764914922522
MAR01911,0.999933,0.8380764914922278
MAR00983,0.9999329875,1.0
MAR04360,0.9999327,1.0
MAR07876,0.99993265,0.5
MAR04010,0.9999325625,1.0
MAR03967,0.99993193,0.5
MAR04915,0.9999318575,0.9999999999999998
MAR05305,0.9999318374999999,1.0
MAR05330,0.9999315125,1.0
MAR02779,0.99993134,0.7999927572970029
MAR05318,0.9999312,0.8164965809277261
MAR00224,0.9999311,0.8380764914922292
MAR11857,0.999931,0.8380764914922509
MAR05295,0.9999306,0.8980273260692322
MAR07962,0.9999304,0.5
MAR10146,0.9999304,0.8380764914922548
MAR04271,0.9999302425000001,1.0
MAR07865,0.9999299,0.6123724356957947
MAR01029,0.99992985,1.0
MAR08935,0.99992967,0.8380764914922496
MAR07149,0.9999287,0.5773502691896257
MAR02382,0.9999285,0.5345293969007353
MAR09903,0.9999285,0.8380764914922292
MAR06895,0.99992824,0.7746013442591805
MAR06597,0.9999279,0.8380764914922275
MAR10147,0.99992776,0.8380764914922548
